country,position,full_name,rating,salary
USA,F-C,Miles Plumlee,70,12500000
USA,C,Caleb Swanigan,70,2033160
USA,G,Jordan Poole,70,1964760
USA,F-C,Henry Ellenson,69,79568
USA,F,LeBron James,97,39219566
Other,G-F,Giannis Antetokounmpo,97,27528088
USA,F,Kawhi Leonard,96,34379100
USA,G,James Harden,96,41254920
USA,G,Stephen Curry,95,43006362
USA,F,Kevin Durant,95,42018900
USA,F-C,Anthony Davis,95,32742000
Other,G-F,Luka Doncic,94,8049360
USA,G,Damian Lillard,94,31626953
Other,C,Joel Embiid,91,29542010
USA,G,Stephen Curry,96,45780966
USA,F,Kevin Durant,96,40918900
USA,F,LeBron James,96,41180544
Other,G-F,Giannis Antetokounmpo,96,39344900
Other,C,Joel Embiid,95,31579390
USA,F,Kawhi Leonard,95,39344900
Other,G-F,Luka Doncic,94,10174391
USA,G,Damian Lillard,94,39344900
USA,G,James Harden,94,44310840
USA,F,Paul George,90,35450412
Other,G,Kyrie Irving,90,33722850
USA,F-C,Karl-Anthony Towns,90,29467800
USA,G,Klay Thompson,89,35361360
USA,G,Jimmy Butler,89,34379100
USA,G,Trae Young,88,6571800
USA,G,Russell Westbrook,88,41358814
Other,F,Pascal Siakam,88,30559200
USA,G,Donovan Mitchell,88,5195501
USA,G,Chris Paul,88,41358814
USA,G,Bradley Beal,88,28751774
Other,C,Rudy Gobert,87,27525281
USA,G,Kyle Lowry,87,30500000
Other,F-C,Kristaps Porzingis,87,29467800
